idx,id,repo,sha,file,line,rule_id,category,tier,repo_category,enclosing_class,enclosing_function,stratum,weight,label,mechanism,reason,verified,web_route,actenon_detected,evidence
12,agno:libs/agno/agno/utils/media.py:154:FILE-OPEN-WRITE,agno-agi/agno,a4a7e319e9124a00c50f7815e4cea2bb3cae28e5,libs/agno/agno/utils/media.py,154,FILE-OPEN-WRITE,file_mutation,production,framework,,download_file,agno|file_mutation,30.0,AMBIGUOUS,,unresolved_utility,site,False,False,"agno utils.media.download_file; 19 callers, none traced to a registered tool"
13,agno:libs/agno/agno/utils/shell.py:12:EXEC-SHELL,agno-agi/agno,a4a7e319e9124a00c50f7815e4cea2bb3cae28e5,libs/agno/agno/utils/shell.py,12,EXEC-SHELL,shell_execution,production,framework,,run_shell_command,agno|shell_execution,9.0,AMBIGUOUS,,unresolved_utility,path,False,False,"agno utils.shell.run_shell_command; only a docstring reference found, no resolvable caller"
14,agno:libs/agno_infra/agno/aws/resource/rds/db_cluster.py:310:SECRET-READ,agno-agi/agno,a4a7e319e9124a00c50f7815e4cea2bb3cae28e5,libs/agno_infra/agno/aws/resource/rds/db_cluster.py,310,SECRET-READ,credential_access,production,framework,DbCluster,get_master_user_password,agno|credential_access,4.5,NOT_AGENT_REACHABLE,,infrastructure,site,False,False,agno_infra AWS RDS provisioning library
15,agno:libs/agno_infra/agno/aws/resource/secret/manager.py:243:SECRET-READ,agno-agi/agno,a4a7e319e9124a00c50f7815e4cea2bb3cae28e5,libs/agno_infra/agno/aws/resource/secret/manager.py,243,SECRET-READ,credential_access,production,framework,SecretsManager,get_secrets_as_dict,agno|credential_access,4.5,NOT_AGENT_REACHABLE,,infrastructure,site,False,False,agno_infra AWS SecretsManager provisioning library
16,aider:aider/coders/base_coder.py:862:COMMUNICATION-SEND,Aider-AI/aider,5dc9490bb35f9729ef2c95d00a19ccd30c26339c,aider/coders/base_coder.py,862,COMMUNICATION-SEND,communication,production,application,Coder,run_stream,aider|communication,1.0,NOT_AGENT_REACHABLE,,llm_transport,site,False,False,"aider Coder.run_stream: the LLM call itself, endpoint fixed by config"
17,aider:aider/coders/base_coder.py:934:COMMUNICATION-SEND,Aider-AI/aider,5dc9490bb35f9729ef2c95d00a19ccd30c26339c,aider/coders/base_coder.py,934,COMMUNICATION-SEND,communication,production,application,Coder,run_one,aider|communication,1.0,NOT_AGENT_REACHABLE,,llm_transport,site,False,False,aider Coder.run_one: LLM call loop
18,aider:aider/coders/patch_coder.py:589:DATA-DELETE-OS,Aider-AI/aider,5dc9490bb35f9729ef2c95d00a19ccd30c26339c,aider/coders/patch_coder.py,589,DATA-DELETE-OS,data_destruction,production,application,PatchCoder,apply_edits,aider|data_destruction,6.5,AGENT_REACHABLE,DYNAMIC_DISPATCH,,path,False,False,aider base_coder.py:2304 self.apply_edits(edits) on LLM-parsed edits; PatchCoder.apply_edits overrides and calls path_obj.unlink() patch_coder.py:589
19,aider:aider/coders/search_replace.py:464:GIT-MUTATE,Aider-AI/aider,5dc9490bb35f9729ef2c95d00a19ccd30c26339c,aider/coders/search_replace.py,464,GIT-MUTATE,vcs_mutation,production,application,,git_cherry_pick_osr_onto_o,aider|vcs_mutation,5.5,NOT_AGENT_REACHABLE,,dead_helper,site,False,False,"aider search_replace git_cherry_pick helper, no caller in repo"
20,aider:aider/coders/search_replace.py:510:GIT-MUTATE,Aider-AI/aider,5dc9490bb35f9729ef2c95d00a19ccd30c26339c,aider/coders/search_replace.py,510,GIT-MUTATE,vcs_mutation,production,application,,git_cherry_pick_sr_onto_so,aider|vcs_mutation,5.5,NOT_AGENT_REACHABLE,,dead_helper,site,False,False,"aider search_replace git_cherry_pick helper, no caller in repo"
21,aider:aider/onboarding.py:177:NET-EGRESS,Aider-AI/aider,5dc9490bb35f9729ef2c95d00a19ccd30c26339c,aider/onboarding.py,177,NET-EGRESS,network_egress,production,application,,exchange_code_for_key,aider|network_egress,6.0,NOT_AGENT_REACHABLE,,auth_flow,site,False,False,aider onboarding OAuth code exchange
22,aider:aider/scrape.py:170:BROWSER-ACTION,Aider-AI/aider,5dc9490bb35f9729ef2c95d00a19ccd30c26339c,aider/scrape.py,170,BROWSER-ACTION,browser_action,production,application,Scraper,scrape_with_playwright,aider|browser_action,1.0,AMBIGUOUS,,unresolved_input,path,False,False,aider Scraper.scrape_with_playwright <- Scraper.scrape:107; could not establish whether url is model- or user-supplied
23,aider:benchmark/benchmark.py:913:FILE-WRITE,Aider-AI/aider,5dc9490bb35f9729ef2c95d00a19ccd30c26339c,benchmark/benchmark.py,913,FILE-WRITE,file_mutation,example,application,,run_test_real,aider|file_mutation,14.5,NOT_AGENT_REACHABLE,,build_tooling,site,False,False,"aider benchmark harness, run from the repo not from an agent"
24,aider:benchmark/rungrid.py:56:EXEC-SHELL,Aider-AI/aider,5dc9490bb35f9729ef2c95d00a19ccd30c26339c,benchmark/rungrid.py,56,EXEC-SHELL,shell_execution,example,application,,run,aider|shell_execution,15.0,NOT_AGENT_REACHABLE,,build_tooling,site,False,False,aider benchmark grid runner script
25,aider:scripts/recording_audio.py:109:NET-EGRESS,Aider-AI/aider,5dc9490bb35f9729ef2c95d00a19ccd30c26339c,scripts/recording_audio.py,109,NET-EGRESS,network_egress,production,application,,generate_audio_openai,aider|network_egress,6.0,NOT_AGENT_REACHABLE,,build_tooling,site,False,False,aider scripts/recording_audio.py developer utility
26,aider:scripts/recording_audio.py:245:FILE-WRITE,Aider-AI/aider,5dc9490bb35f9729ef2c95d00a19ccd30c26339c,scripts/recording_audio.py,245,FILE-WRITE,file_mutation,production,application,,main,aider|file_mutation,14.5,NOT_AGENT_REACHABLE,,build_tooling,site,False,False,aider scripts/recording_audio.py main()
27,aider:scripts/update-history.py:154:DATA-DELETE-OS,Aider-AI/aider,5dc9490bb35f9729ef2c95d00a19ccd30c26339c,scripts/update-history.py,154,DATA-DELETE-OS,data_destruction,production,application,,main,aider|data_destruction,6.5,NOT_AGENT_REACHABLE,,build_tooling,site,False,False,aider scripts/update-history.py release tooling
28,aider:scripts/versionbump.py:15:EXEC-SHELL,Aider-AI/aider,5dc9490bb35f9729ef2c95d00a19ccd30c26339c,scripts/versionbump.py,15,EXEC-SHELL,shell_execution,production,application,,check_branch,aider|shell_execution,15.0,NOT_AGENT_REACHABLE,,build_tooling,site,False,False,aider scripts/versionbump.py release tooling
29,autogen:python/fixup_generated_files.py:34:FILE-OPEN-WRITE,microsoft/autogen,027ecf0a379bcc1d09956d46d12d44a3ad9cee14,python/fixup_generated_files.py,34,FILE-OPEN-WRITE,file_mutation,production,framework,,main,autogen|file_mutation,22.0,NOT_AGENT_REACHABLE,,build_tooling,site,False,False,autogen fixup_generated_files.py codegen post-processing
30,autogen:python/packages/autogen-agentchat/src/autogen_agentchat/teams/_group_chat/_base_group_chat.py:534:COMMUNICATION-SEND,microsoft/autogen,027ecf0a379bcc1d09956d46d12d44a3ad9cee14,python/packages/autogen-agentchat/src/autogen_agentchat/teams/_group_chat/_base_group_chat.py,534,COMMUNICATION-SEND,communication,production,framework,BaseGroupChat,run_stream,autogen|communication,13.5,NOT_AGENT_REACHABLE,,web_route_only,site,True,False,autogen BaseGroupChat.run_stream; app.get chain
31,autogen:python/packages/autogen-ext/src/autogen_ext/agents/web_surfer/playwright_controller.py:210:BROWSER-ACTION,microsoft/autogen,027ecf0a379bcc1d09956d46d12d44a3ad9cee14,python/packages/autogen-ext/src/autogen_ext/agents/web_surfer/playwright_controller.py,210,BROWSER-ACTION,browser_action,production,framework,PlaywrightController,visit_page,autogen|browser_action,2.5,AGENT_REACHABLE,CROSS_MODULE_CALL,,path,False,False,"MultimodalWebSurfer executes MODEL tool calls via _execute_tool (:623,:628) which calls _playwright_controller.visit_page (:656/661/666/680) -> sink playwright_controller.py:210"
32,autogen:python/packages/autogen-ext/src/autogen_ext/agents/web_surfer/playwright_controller.py:482:BROWSER-ACTION,microsoft/autogen,027ecf0a379bcc1d09956d46d12d44a3ad9cee14,python/packages/autogen-ext/src/autogen_ext/agents/web_surfer/playwright_controller.py,482,BROWSER-ACTION,browser_action,production,framework,PlaywrightController,fill_id,autogen|browser_action,2.5,AGENT_REACHABLE,CROSS_MODULE_CALL,,path,False,False,Same _execute_tool dispatch reaching PlaywrightController.fill_id -> sink playwright_controller.py:482
33,autogen:python/packages/autogen-ext/src/autogen_ext/code_executors/azure/_azure_container_code_executor.py:462:NET-EGRESS,microsoft/autogen,027ecf0a379bcc1d09956d46d12d44a3ad9cee14,python/packages/autogen-ext/src/autogen_ext/code_executors/azure/_azure_container_code_executor.py,462,NET-EGRESS,network_egress,production,framework,ACADynamicSessionsCodeExecutor,_execute_code_dont_check_setup,autogen|network_egress,5.5,NOT_AGENT_REACHABLE,,web_route_only,site,True,False,autogen ACA dynamic sessions executor; app.get chain
34,autogen:python/packages/autogen-ext/src/autogen_ext/models/anthropic/_anthropic_client.py:1410:SECRET-READ,microsoft/autogen,027ecf0a379bcc1d09956d46d12d44a3ad9cee14,python/packages/autogen-ext/src/autogen_ext/models/anthropic/_anthropic_client.py,1410,SECRET-READ,credential_access,production,framework,AnthropicBedrockChatCompletionClient,_from_config,autogen|credential_access,5.0,NOT_AGENT_REACHABLE,,config_load,site,False,False,autogen AnthropicBedrock _from_config component deserialization
35,autogen:python/packages/autogen-ext/src/autogen_ext/models/openai/_openai_client.py:1515:SECRET-READ,microsoft/autogen,027ecf0a379bcc1d09956d46d12d44a3ad9cee14,python/packages/autogen-ext/src/autogen_ext/models/openai/_openai_client.py,1515,SECRET-READ,credential_access,production,framework,OpenAIChatCompletionClient,_from_config,autogen|credential_access,5.0,NOT_AGENT_REACHABLE,,config_load,site,False,False,autogen OpenAI _from_config component deserialization
36,autogen:python/packages/autogen-studio/autogenstudio/cli.py:72:FILE-OPEN-WRITE,microsoft/autogen,027ecf0a379bcc1d09956d46d12d44a3ad9cee14,python/packages/autogen-studio/autogenstudio/cli.py,72,FILE-OPEN-WRITE,file_mutation,production,framework,,ui,autogen|file_mutation,22.0,NOT_AGENT_REACHABLE,,cli_entrypoint,site,False,False,"autogenstudio cli.py ui command; operator CLI, no caller in repo"
37,autogen:python/packages/autogen-studio/autogenstudio/database/db_manager.py:127:EXEC-CODE,microsoft/autogen,027ecf0a379bcc1d09956d46d12d44a3ad9cee14,python/packages/autogen-studio/autogenstudio/database/db_manager.py,127,EXEC-CODE,code_execution,production,framework,DatabaseManager,reset_db,autogen|code_execution,5.5,NOT_AGENT_REACHABLE,,web_route_only,site,True,False,autogenstudio DatabaseManager.reset_db; app.post chain
38,autogen:python/packages/autogen-studio/autogenstudio/database/db_manager.py:182:EXEC-CODE,microsoft/autogen,027ecf0a379bcc1d09956d46d12d44a3ad9cee14,python/packages/autogen-studio/autogenstudio/database/db_manager.py,182,EXEC-CODE,code_execution,production,framework,DatabaseManager,upsert,autogen|code_execution,5.5,NOT_AGENT_REACHABLE,,web_route_only,path,True,False,autogenstudio DatabaseManager.upsert <- gallery.py router POST
39,autogen:python/packages/autogen-studio/autogenstudio/database/db_manager.py:234:DATA-DELETE-SQL,microsoft/autogen,027ecf0a379bcc1d09956d46d12d44a3ad9cee14,python/packages/autogen-studio/autogenstudio/database/db_manager.py,234,DATA-DELETE-SQL,data_destruction,production,framework,DatabaseManager,get,autogen|data_destruction,4.5,NOT_AGENT_REACHABLE,,web_route_only,site,True,False,autogenstudio DatabaseManager.get <- router GET
40,autogen:python/packages/autogen-studio/autogenstudio/database/db_manager.py:263:NET-EGRESS,microsoft/autogen,027ecf0a379bcc1d09956d46d12d44a3ad9cee14,python/packages/autogen-studio/autogenstudio/database/db_manager.py,263,NET-EGRESS,network_egress,production,framework,DatabaseManager,delete,autogen|network_egress,5.5,NOT_AGENT_REACHABLE,,web_route_only,path,True,False,"autogenstudio DatabaseManager.delete <- @router.delete gallery.py:62 db.delete(Gallery,...) :69"
41,autogen:python/packages/autogen-studio/autogenstudio/database/schema_manager.py:531:DATA-DELETE-SQL,microsoft/autogen,027ecf0a379bcc1d09956d46d12d44a3ad9cee14,python/packages/autogen-studio/autogenstudio/database/schema_manager.py,531,DATA-DELETE-SQL,data_destruction,production,framework,SchemaManager,ensure_schema_up_to_date,autogen|data_destruction,4.5,NOT_AGENT_REACHABLE,,infrastructure,site,False,False,autogenstudio SchemaManager.ensure_schema_up_to_date; migration at startup
42,autogen:python/packages/autogen-studio/autogenstudio/lite/studio.py:236:EXEC-SHELL,microsoft/autogen,027ecf0a379bcc1d09956d46d12d44a3ad9cee14,python/packages/autogen-studio/autogenstudio/lite/studio.py,236,EXEC-SHELL,shell_execution,production,framework,LiteStudio,shutdown_port,autogen|shell_execution,8.0,NOT_AGENT_REACHABLE,,cli_entrypoint,site,False,False,LiteStudio.shutdown_port; local dev server lifecycle
43,autogen:python/packages/autogen-studio/autogenstudio/mcp/wsbridge.py:142:COMMUNICATION-SEND,microsoft/autogen,027ecf0a379bcc1d09956d46d12d44a3ad9cee14,python/packages/autogen-studio/autogenstudio/mcp/wsbridge.py,142,COMMUNICATION-SEND,communication,production,framework,MCPWebSocketBridge,_handle_elicitation_response,autogen|communication,13.5,NOT_AGENT_REACHABLE,,web_route_only,site,True,False,autogenstudio MCPWebSocketBridge elicitation response; websocket route
44,autogen:python/samples/gitty/src/gitty/_db.py:121:DATABASE-MUTATE,microsoft/autogen,027ecf0a379bcc1d09956d46d12d44a3ad9cee14,python/samples/gitty/src/gitty/_db.py,121,DATABASE-MUTATE,database_mutation,example,framework,,fetch_and_update_issues,autogen|database_mutation,2.0,AMBIGUOUS,,sample_app,site,False,False,autogen gitty sample DB layer
45,autogen:python/samples/gitty/src/gitty/_db.py:131:DATABASE-MUTATE,microsoft/autogen,027ecf0a379bcc1d09956d46d12d44a3ad9cee14,python/samples/gitty/src/gitty/_db.py,131,DATABASE-MUTATE,database_mutation,example,framework,,fetch_and_update_issues,autogen|database_mutation,2.0,AMBIGUOUS,,sample_app,site,False,False,autogen gitty sample DB layer
46,autogen:python/samples/gitty/src/gitty/_github.py:65:EXEC-SHELL,microsoft/autogen,027ecf0a379bcc1d09956d46d12d44a3ad9cee14,python/samples/gitty/src/gitty/_github.py,65,EXEC-SHELL,shell_execution,example,framework,,fetch_issue_summaries,autogen|shell_execution,8.0,AMBIGUOUS,,sample_app,site,False,False,autogen gitty sample shells out to gh; no caller found
47,browser-use:browser_use/actor/playground/flights.py:20:BROWSER-ACTION,browser-use/browser-use,0964ad452a9f3fe249042a5ffb235e5f98519b2e,browser_use/actor/playground/flights.py,20,BROWSER-ACTION,browser_action,production,application,,main,browser-use|browser_action,2.0,NOT_AGENT_REACHABLE,,demo_script,site,False,False,browser-use actor playground flights demo
48,browser-use:browser_use/actor/playground/mixed_automation.py:37:BROWSER-ACTION,browser-use/browser-use,0964ad452a9f3fe249042a5ffb235e5f98519b2e,browser_use/actor/playground/mixed_automation.py,37,BROWSER-ACTION,browser_action,production,application,,main,browser-use|browser_action,2.0,NOT_AGENT_REACHABLE,,demo_script,site,False,False,browser-use actor playground mixed automation demo
49,browser-use:browser_use/browser/cloud/cloud.py:153:NET-EGRESS,browser-use/browser-use,0964ad452a9f3fe249042a5ffb235e5f98519b2e,browser_use/browser/cloud/cloud.py,153,NET-EGRESS,network_egress,production,application,CloudBrowserClient,stop_browser,browser-use|network_egress,6.0,AMBIGUOUS,,unresolved_framework,site,False,False,browser-use CloudBrowserClient.stop_browser; chain to call_tool passes through generic close()
50,browser-use:browser_use/browser/profile.py:1176:FILE-OPEN-WRITE,browser-use/browser-use,0964ad452a9f3fe249042a5ffb235e5f98519b2e,browser_use/browser/profile.py,1176,FILE-OPEN-WRITE,file_mutation,production,application,BrowserProfile,_download_extension,browser-use|file_mutation,13.5,NOT_AGENT_REACHABLE,,framework_internal,site,False,False,browser-use BrowserProfile._download_extension; profile setup
51,browser-use:browser_use/llm/aws/chat_anthropic.py:219:EMAIL-PROVIDER-SEND,browser-use/browser-use,0964ad452a9f3fe249042a5ffb235e5f98519b2e,browser_use/llm/aws/chat_anthropic.py,219,EMAIL-PROVIDER-SEND,communication,production,application,ChatAnthropicBedrock,ainvoke,browser-use|communication,4.5,NOT_AGENT_REACHABLE,,llm_transport,site,False,False,"browser-use ChatAnthropicBedrock.ainvoke; provider call, fixed endpoint"
52,browser-use:browser_use/llm/mistral/chat.py:148:NET-EGRESS,browser-use/browser-use,0964ad452a9f3fe249042a5ffb235e5f98519b2e,browser_use/llm/mistral/chat.py,148,NET-EGRESS,network_egress,production,application,ChatMistral,_post,browser-use|network_egress,6.0,NOT_AGENT_REACHABLE,,llm_transport,site,False,False,browser-use ChatMistral._post; provider call
53,browser-use:browser_use/mcp/cli_mcp.py:105:EXEC-CODE,browser-use/browser-use,0964ad452a9f3fe249042a5ffb235e5f98519b2e,browser_use/mcp/cli_mcp.py,105,EXEC-CODE,code_execution,production,application,CLIMCPServer,_ensure_namespace,browser-use|code_execution,1.0,AGENT_REACHABLE,MULTI_HOP_LOCAL_CALL,,path,False,False,@self.server.call_tool() handle_call_tool cli_mcp.py:83; name=='browser_screenshot' -> self._screenshot:133 -> self._ensure_namespace:102 -> sink :105
54,browser-use:browser_use/mcp/cli_mcp.py:128:EXEC-CODE,browser-use/browser-use,0964ad452a9f3fe249042a5ffb235e5f98519b2e,browser_use/mcp/cli_mcp.py,128,EXEC-CODE,code_execution,production,application,CLIMCPServer,_execute,browser-use|code_execution,1.0,AGENT_REACHABLE,CALLBACK_REGISTRATION,,path,False,False,"handle_call_tool name=='browser_exec' -> asyncio.to_thread(self._execute, code) cli_mcp.py:91 (method passed BY REFERENCE, no call edge) -> sink _execute:128; code is arguments.get('code')"
55,browser-use:browser_use/tokens/service.py:107:DATA-DELETE-OS,browser-use/browser-use,0964ad452a9f3fe249042a5ffb235e5f98519b2e,browser_use/tokens/service.py,107,DATA-DELETE-OS,data_destruction,production,application,TokenCost,_find_valid_cache,browser-use|data_destruction,2.0,NOT_AGENT_REACHABLE,,framework_internal,site,False,False,browser-use TokenCost cache housekeeping
56,browser-use:browser_use/utils.py:743:EXEC-SHELL,browser-use/browser-use,0964ad452a9f3fe249042a5ffb235e5f98519b2e,browser_use/utils.py,743,EXEC-SHELL,shell_execution,production,application,,get_git_info,browser-use|shell_execution,18.0,NOT_AGENT_REACHABLE,,framework_internal,site,False,False,browser-use get_git_info diagnostics
57,browser-use:examples/apps/msg-use/scheduler.py:246:COMMUNICATION-SEND,browser-use/browser-use,0964ad452a9f3fe249042a5ffb235e5f98519b2e,examples/apps/msg-use/scheduler.py,246,COMMUNICATION-SEND,communication,example,application,,main,browser-use|communication,4.5,AMBIGUOUS,,sample_app,site,False,False,browser-use msg-use example scheduler
58,browser-use:examples/apps/news-use/news_monitor.py:208:FILE-OPEN-WRITE,browser-use/browser-use,0964ad452a9f3fe249042a5ffb235e5f98519b2e,examples/apps/news-use/news_monitor.py,208,FILE-OPEN-WRITE,file_mutation,example,application,,save_article,browser-use|file_mutation,13.5,AMBIGUOUS,,sample_app,site,False,False,browser-use news-use example save_article
59,browser-use:examples/custom-functions/file_upload.py:109:DATA-DELETE-OS,browser-use/browser-use,0964ad452a9f3fe249042a5ffb235e5f98519b2e,examples/custom-functions/file_upload.py,109,DATA-DELETE-OS,data_destruction,example,application,,main,browser-use|data_destruction,2.0,AMBIGUOUS,,sample_app,site,False,False,browser-use custom-functions file_upload example
60,click:src/click/_compat.py:448:FILE-WRITE,pallets/click,00e592cea702e0b2caa0dee42489fdb1c22cd845,src/click/_compat.py,448,FILE-WRITE,file_mutation,production,control,,open_stream,click|file_mutation,5.0,NOT_AGENT_REACHABLE,,control_library,site,False,False,click internal stream handling; click is a corpus CONTROL repo
61,click:src/click/_termui_impl.py:531:EXEC-SHELL,pallets/click,00e592cea702e0b2caa0dee42489fdb1c22cd845,src/click/_termui_impl.py,531,EXEC-SHELL,shell_execution,production,control,,_pipepager,click|shell_execution,8.0,NOT_AGENT_REACHABLE,,control_library,site,False,False,click pager implementation; control repo
62,click:src/click/_termui_impl.py:633:DATA-DELETE-OS,pallets/click,00e592cea702e0b2caa0dee42489fdb1c22cd845,src/click/_termui_impl.py,633,DATA-DELETE-OS,data_destruction,production,control,,_tempfilepager,click|data_destruction,2.0,NOT_AGENT_REACHABLE,,control_library,site,False,False,click temp-file pager; control repo
63,crewai:lib/cli/src/crewai_cli/checkpoint_cli.py:313:DATA-DELETE-SQL,crewAIInc/crewAI,b3aaaab023a53a08db4d36c9430b3463f1efcc7d,lib/cli/src/crewai_cli/checkpoint_cli.py,313,DATA-DELETE-SQL,data_destruction,production,framework,,_info_sqlite_id,crewai|data_destruction,27.0,NOT_AGENT_REACHABLE,,cli_entrypoint,site,False,False,crewai checkpoint CLI inspection command
64,crewai:lib/cli/src/crewai_cli/kickoff_flow.py:99:EXEC-SHELL,crewAIInc/crewAI,b3aaaab023a53a08db4d36c9430b3463f1efcc7d,lib/cli/src/crewai_cli/kickoff_flow.py,99,EXEC-SHELL,shell_execution,production,framework,,kickoff_flow,crewai|shell_execution,66.0,NOT_AGENT_REACHABLE,,cli_entrypoint,site,False,False,crewai kickoff_flow CLI command
65,crewai:lib/cli/src/crewai_cli/utils.py:150:FILE-WRITE,crewAIInc/crewAI,b3aaaab023a53a08db4d36c9430b3463f1efcc7d,lib/cli/src/crewai_cli/utils.py,150,FILE-WRITE,file_mutation,production,framework,,tree_find_and_replace,crewai|file_mutation,46.0,NOT_AGENT_REACHABLE,,build_tooling,path,False,False,crewai_cli utils tree_find_and_replace invoked by ToolCommand.create (scaffolding CLI); BaseTool._run chain is a name collision on create()
66,crewai:lib/crewai-tools/src/crewai_tools/tools/stagehand_tool/stagehand_tool.py:506:BROWSER-ACTION,crewAIInc/crewAI,b3aaaab023a53a08db4d36c9430b3463f1efcc7d,lib/crewai-tools/src/crewai_tools/tools/stagehand_tool/stagehand_tool.py,506,BROWSER-ACTION,browser_action,production,framework,StagehandTool,_async_run,crewai|browser_action,9.0,AGENT_REACHABLE,LOCAL_HELPER_CALL,,path,False,False,StagehandTool(BaseTool)._run:577 -> self._async_run(...) :613/:619/:660 -> sink :506
